Run ID,Type,Angle,Intensity
Skewed Gaussian 2,X Angle,-55.4545,20.7994
Skewed Gaussian 2,X Angle,-53.6364,24.3358
Skewed Gaussian 2,X Angle,-51.8182,28.2391
Skewed Gaussian 2,X Angle,-50,32.4988
Skewed Gaussian 2,X Angle,-48.1818,37.0932
Skewed Gaussian 2,X Angle,-46.3636,41.9887
Skewed Gaussian 2,X Angle,-44.5455,47.1392
Skewed Gaussian 2,X Angle,-42.7273,52.4858
Skewed Gaussian 2,X Angle,-40.9091,57.9578
Skewed Gaussian 2,X Angle,-39.0909,63.4736
Skewed Gaussian 2,X Angle,-37.2727,68.9423
Skewed Gaussian 2,X Angle,-35.4545,74.2657
Skewed Gaussian 2,X Angle,-33.6364,79.3418
Skewed Gaussian 2,X Angle,-31.8182,84.0672
Skewed Gaussian 2,X Angle,-30,88.3409
Skewed Gaussian 2,X Angle,-28.1818,92.0678
Skewed Gaussian 2,X Angle,-26.3636,95.1623
Skewed Gaussian 2,X Angle,-24.5455,97.5511
Skewed Gaussian 2,X Angle,-22.7273,99.177
Skewed Gaussian 2,X Angle,-20.9091,100
Skewed Gaussian 2,X Angle,-19.0909,100
Skewed Gaussian 2,X Angle,-17.2727,99.177
Skewed Gaussian 2,X Angle,-15.4545,97.5511
Skewed Gaussian 2,X Angle,-13.6364,95.1623
Skewed Gaussian 2,X Angle,-11.8182,92.0678
Skewed Gaussian 2,X Angle,-10,88.3409
Skewed Gaussian 2,X Angle,-8.18182,84.0672
Skewed Gaussian 2,X Angle,-6.36364,79.3418
Skewed Gaussian 2,X Angle,-4.54545,74.2657
Skewed Gaussian 2,X Angle,-2.72727,68.9423
Skewed Gaussian 2,X Angle,-0.909091,63.4736
Skewed Gaussian 2,X Angle,0.909091,57.9578
Skewed Gaussian 2,X Angle,2.72727,52.4858
Skewed Gaussian 2,X Angle,4.54545,47.1392
Skewed Gaussian 2,X Angle,6.36364,41.9887
Skewed Gaussian 2,X Angle,8.18182,37.0932
Skewed Gaussian 2,X Angle,10,32.4988
Skewed Gaussian 2,X Angle,11.8182,28.2391
Skewed Gaussian 2,X Angle,13.6364,24.3358
Skewed Gaussian 2,X Angle,15.4545,20.7994
Skewed Gaussian 2,X Angle,17.2727,17.6305
Skewed Gaussian 2,X Angle,19.0909,14.8215
Skewed Gaussian 2,X Angle,20.9091,12.3575
Skewed Gaussian 2,X Angle,22.7273,10.2183
Skewed Gaussian 2,X Angle,24.5455,8.37986
Skewed Gaussian 2,X Angle,26.3636,6.81564
Skewed Gaussian 2,X Angle,28.1818,5.49778
Skewed Gaussian 2,X Angle,30,4.39823
Skewed Gaussian 2,X Angle,31.8182,3.48964
Skewed Gaussian 2,X Angle,33.6364,2.74595
Skewed Gaussian 2,X Angle,35.4545,2.14297
Skewed Gaussian 2,X Angle,37.2727,1.65864
Skewed Gaussian 2,X Angle,39.0909,1.2732
Skewed Gaussian 2,X Angle,40.9091,0.969288
Skewed Gaussian 2,X Angle,42.7273,0.731846
Skewed Gaussian 2,X Angle,44.5455,0.548021
Skewed Gaussian 2,X Angle,46.3636,0.406992
Skewed Gaussian 2,X Angle,48.1818,0.299768
Skewed Gaussian 2,X Angle,50,0.218975
Skewed Gaussian 2,X Angle,51.8182,0.158641
Skewed Gaussian 2,X Angle,53.6364,0.113985
Skewed Gaussian 2,X Angle,55.4545,0.081225
Skewed Gaussian 2,X Angle,57.2727,0.0574041
Skewed Gaussian 2,X Angle,59.0909,0.0402353
Skewed Gaussian 2,X Angle,60.9091,0.0279693
Skewed Gaussian 2,X Angle,62.7273,0.0192827
Skewed Gaussian 2,X Angle,64.5455,0.0131845
Skewed Gaussian 2,X Angle,66.3636,0.00894068
Skewed Gaussian 2,X Angle,68.1818,0.00601296
Skewed Gaussian 2,X Angle,70,0.00401067
Skewed Gaussian 2,X Angle,71.8182,0.00265312
Skewed Gaussian 2,X Angle,73.6364,0.00174063
Skewed Gaussian 2,X Angle,75.4545,0.00113258
Skewed Gaussian 2,X Angle,77.2727,0.000730869
Skewed Gaussian 2,X Angle,79.0909,0.000467759
Skewed Gaussian 2,X Angle,80.9091,0.000296904
Skewed Gaussian 2,X Angle,82.7273,0.000186905
Skewed Gaussian 2,X Angle,84.5455,0.00011669
Skewed Gaussian 2,X Angle,86.3636,7.23E-05
Skewed Gaussian 2,X Angle,88.1818,4.44E-05
Skewed Gaussian 2,X Angle,90,2.70E-05
Skewed Gaussian 3,X Angle,-90,41.7056
Skewed Gaussian 3,X Angle,-88.1818,44.1749
Skewed Gaussian 3,X Angle,-86.3636,46.7285
Skewed Gaussian 3,X Angle,-84.5455,49.3644
Skewed Gaussian 3,X Angle,-82.7273,52.0802
Skewed Gaussian 3,X Angle,-80.9091,54.8727
Skewed Gaussian 3,X Angle,-79.0909,57.7385
Skewed Gaussian 3,X Angle,-77.2727,60.6738
Skewed Gaussian 3,X Angle,-75.4545,63.674
Skewed Gaussian 3,X Angle,-73.6364,66.7342
Skewed Gaussian 3,X Angle,-71.8182,69.8491
Skewed Gaussian 3,X Angle,-70,73.0128
Skewed Gaussian 3,X Angle,-68.1818,76.219
Skewed Gaussian 3,X Angle,-66.3636,79.4608
Skewed Gaussian 3,X Angle,-64.5455,82.731
Skewed Gaussian 3,X Angle,-62.7273,86.0219
Skewed Gaussian 3,X Angle,-60.9091,89.3256
Skewed Gaussian 3,X Angle,-59.0909,92.6336
Skewed Gaussian 3,X Angle,-57.2727,95.9371
Skewed Gaussian 3,X Angle,-55.4545,99.2272
Skewed Gaussian 3,X Angle,-53.6364,102.494
Skewed Gaussian 3,X Angle,-51.8182,105.729
Skewed Gaussian 3,X Angle,-50,108.922
Skewed Gaussian 3,X Angle,-48.1818,112.063
Skewed Gaussian 3,X Angle,-46.3636,115.143
Skewed Gaussian 3,X Angle,-44.5455,118.15
Skewed Gaussian 3,X Angle,-42.7273,121.076
Skewed Gaussian 3,X Angle,-40.9091,123.911
